2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 2]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 9]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 14]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 19]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 24]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 32]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 33]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 34]
2010-09-20 18:25:45 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 35]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 2]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 9]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 14]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 19]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 24]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 32]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 33]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 34]
2010-09-20 18:26:29 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 35]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 2]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 9]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 14]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 19]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 24]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 32]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 33]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 34]
2010-09-20 18:26:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 35]
2010-09-20 18:30:19 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 33]
2010-09-20 18:30:19 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 34]
2010-09-20 18:30:19 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 35]
2010-09-20 18:30:19 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 36]
2010-09-20 18:30:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 33]
2010-09-20 18:30:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 34]
2010-09-20 18:30:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 35]
2010-09-20 18:30:32 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 36]
2010-09-20 18:32:00 Notice: Notice (8): Undefined variable: events_under_group in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 1]
2010-09-20 18:32:34 Notice: Notice (8): Undefined variable: events_under_group in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 1]
2010-09-20 18:38:25 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 69]
2010-09-20 18:38:25 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 70]
2010-09-20 18:38:25 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 71]
2010-09-20 18:38:25 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 72]
2010-09-20 18:39:19 Notice: Notice (8): Undefined variable: eventGroup in [/home/chase/public_html/eventgrouper/app/views/event_groups/view.ctp, line 72]
